"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C7,C8,C10,C11","6","100n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C2,C9,C12","3","10u","","","","Capacitor_SMD:CP_Elec_4x3.9","~"
"J1","1","UART","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J2","1","POWER","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"J3","1","SSD1322","","","","Connector_PinSocket_2.54mm:PinSocket_2x08_P2.54mm_Vertical","~"
"J4","1","GND","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J5","1","3.3V","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J6","1","GPIO","","","","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical","~"
"J7","1","Encoder 2","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J8","1","PCM5102A","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J9","1","WeAct PCM5100A","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"J10","1","Encoder 1","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"R1,R6","2","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R9","1","10R","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"S1","1","RST","","","","Button_Switch_SMD:SW_SPST_TS-1088-xR025","~"
"S2","1","BOOT","","","","Button_Switch_SMD:SW_SPST_TS-1088-xR025","~"
"U1,U3","2","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U2","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
